product_primaryname,processing_periods_name,facility_type_name,beginningbalance,quantityreceived,quantitydispensed,stockinhand,quantityrequested,quantityapproved,totallossesandadjustments,amc,packsize,zone,dispensingunit
ACT-SC,Oct 2024,NATIONAL HOSPITAL,,4.0,762.0,939.0,,2457.0,48,843.0,30,DISTRICT23,BLISTER
RDT,Nov 2024,HEALTH CENTER,,0.0,,422.0,180.0,0.0,-597,,1000,DISTRICT37,PIECE
ART-SUP,Aug 2024,HEALTH CENTER,406.0,,402.0,151.0,513.0,634.0,40,350.0,1,DISTRICT25,CAPSULE
ITN,Oct 2024,DISTRICT HOSPITAL,6772.0,0.0,,,,15.0,-105,282.0,50,DISTRICT8,PIECE
ACT-INF,Feb 2025,HEALTH CENTER,,,,1158.0,,209.0,35,,30,DISTRICT13,BLISTER
ART-INJ,Jun 2025,HEALTH CENTER,95.0,,,294.0,,50.0,537,26.0,5,DISTRICT15,VIAL
PYRA-COMP,Oct 2024,REGIONAL HOSPITAL,816.0,,,,,660.0,589,159.0,30,DISTRICT14,TABLET
ACT-SC,Dec 2024,HEALTH CENTER,,43.0,117.0,,72.0,0.0,-158,,1000,DISTRICT18,BLISTER
SP,Jan 2024,HEALTH CENTER,,23.0,530.0,1823.0,,286.0,49,710.0,1000,DISTRICT25,TABLET
PYRA-COMP,Mar 2024,NATIONAL HOSPITAL,133.0,0.0,141.0,447.0,907.0,23.0,120,40.0,1,DISTRICT37,TABLET
RDT,May 2025,HEALTH CENTER,1752.0,,170.0,2842.0,689.0,342.0,810,208.0,1,DISTRICT23,PIECE
ACT-SC,Jan 2024,HEALTH CENTER,,,162.0,175.0,365.0,948.0,74,26.0,25,DISTRICT19,BLISTER
PYRA-COMP,Sep 2025,HEALTH CENTER,2354.0,179.0,320.0,,1701.0,176.0,-162,205.0,25,DISTRICT3,TABLET
ACT-INF,Oct 2024,HEALTH CENTER,,,138.0,1766.0,,5.0,-676,75.0,50,DISTRICT13,BLISTER
ART-INJ,Oct 2024,HEALTH CENTER,,,506.0,,,431.0,720,247.0,1000,DISTRICT15,VIAL
SP,Mar 2025,HEALTH CENTER,1329.0,18.0,870.0,,,842.0,234,,30,DISTRICT25,TABLET
PYRA-SAC,Aug 2025,HEALTH CENTER,4669.0,80.0,,,1196.0,1.0,69,,25,DISTRICT37,SACHET
SP,Oct 2025,DISTRICT HOSPITAL,2068.0,8.0,1062.0,1379.0,,,509,916.0,30,DISTRICT32,TABLET
ITN,Jul 2024,HEALTH CENTER,,329.0,,1496.0,,,379,403.0,30,DISTRICT33,PIECE
PYRA-COMP,Jun 2025,HEALTH CENTER,22.0,7.0,9.0,35.0,,965.0,564,,2,DISTRICT31,TABLET
ACT-AD,Feb 2024,HEALTH CENTER,384.0,,226.0,825.0,1439.0,,-185,163.0,2,DISTRICT1,BLISTER
QUIN,Sep 2025,HEALTH CENTER,,0.0,82.0,,,20.0,164,,30,DISTRICT16,TABLET
ITN,Dec 2023,HEALTH CENTER,1493.0,32.0,,787.0,,2246.0,-372,290.0,1,DISTRICT24,PIECE
QUIN,May 2025,HEALTH CENTER,,325.0,330.0,1350.0,,,463,,30,DISTRICT9,TABLET
ACT-SC,Aug 2025,HEALTH CENTER,2657.0,1.0,366.0,,,172.0,-767,336.0,1,DISTRICT7,BLISTER
ACT-SC,Jun 2025,HEALTH CENTER,922.0,,,835.0,,2.0,426,95.0,25,DISTRICT30,BLISTER
ACT-AD,Jan 2024,HEALTH CENTER,651.0,,,597.0,,0.0,222,11.0,50,DISTRICT15,BLISTER
ACT-INF,Oct 2025,HEALTH CENTER,3670.0,22.0,,,,1615.0,-575,456.0,1000,DISTRICT10,BLISTER
ACT-INF,Nov 2025,HEALTH CENTER,,,266.0,1000.0,,30.0,241,,1000,DISTRICT16,BLISTER
SP,Apr 2025,HEALTH CENTER,,64.0,,610.0,2319.0,47.0,140,76.0,30,DISTRICT14,TABLET
ART-INJ,Apr 2025,HEALTH CENTER,159.0,136.0,213.0,265.0,,839.0,60,,30,DISTRICT32,VIAL
ACT-GC,Oct 2025,HEALTH CENTER,151.0,8.0,297.0,1576.0,,2.0,-608,,30,DISTRICT18,BLISTER
QUIN,Jun 2025,HEALTH CENTER,1165.0,,200.0,482.0,182.0,0.0,-1023,219.0,1000,DISTRICT29,TABLET
PYRA-SAC,Jul 2025,HEALTH CENTER,283.0,114.0,58.0,,,,-542,6.0,25,DISTRICT15,SACHET
ACT-SC,Apr 2025,HEALTH CENTER,4095.0,,342.0,1000.0,,,-327,168.0,30,DISTRICT24,BLISTER
ART-SUP,Nov 2025,HEALTH CENTER,6817.0,23.0,,4208.0,977.0,,-571,422.0,50,DISTRICT33,CAPSULE
ACT-INF,Apr 2024,HEALTH CENTER,,8.0,487.0,2087.0,,0.0,234,201.0,30,DISTRICT4,BLISTER
ACT-INF,Jun 2024,HEALTH CENTER,,0.0,57.0,255.0,,,177,68.0,30,DISTRICT9,BLISTER
ACT-SC,Feb 2024,HEALTH CENTER,1918.0,,173.0,1953.0,,4135.0,-52,98.0,1000,DISTRICT10,BLISTER
RDT,Jul 2024,HEALTH CENTER,,0.0,266.0,117.0,1243.0,424.0,616,28.0,25,DISTRICT10,PIECE
PYRA-COMP,May 2024,HEALTH CENTER,62.0,0.0,,13.0,,0.0,514,30.0,1,DISTRICT15,TABLET
ACT-SC,Feb 2024,HEALTH CENTER,691.0,,55.0,2595.0,857.0,0.0,-723,34.0,30,DISTRICT25,BLISTER
ART-SUP,Jul 2025,HEALTH CENTER,467.0,3.0,64.0,,,0.0,524,,30,DISTRICT14,CAPSULE
ACT-GC,Feb 2025,HEALTH CENTER,,0.0,90.0,795.0,,77.0,-367,93.0,30,DISTRICT9,BLISTER
ACT-INF,Feb 2024,HEALTH CENTER,358.0,,366.0,356.0,,129.0,-99,465.0,5,DISTRICT27,BLISTER
SP,Nov 2024,HEALTH CENTER,1571.0,1402.0,797.0,4744.0,,351.0,-230,699.0,1000,DISTRICT27,TABLET
RDT,May 2024,HEALTH CENTER,183.0,121.0,24.0,,,4.0,126,,25,DISTRICT10,PIECE
ART-SUP,Aug 2025,HEALTH CENTER,2021.0,2.0,452.0,795.0,353.0,,-91,274.0,25,DISTRICT33,CAPSULE
ACT-INF,Jul 2025,HEALTH CENTER,50.0,0.0,,,,,228,,30,DISTRICT25,BLISTER
PYRA-SAC,Jul 2025,HEALTH CENTER,899.0,,155.0,1930.0,192.0,,-388,153.0,2,DISTRICT30,SACHET
PYRA-SAC,Jul 2024,HEALTH CENTER,,,258.0,,,666.0,507,,2,DISTRICT38,SACHET
ACT-AD,Mar 2025,HEALTH CENTER,2977.0,0.0,276.0,541.0,1437.0,,714,749.0,30,DISTRICT11,BLISTER
ART-SUP,May 2025,HEALTH CENTER,2.0,1.0,17.0,6.0,,0.0,-100,8.0,1,DISTRICT9,CAPSULE
ITN,Apr 2024,HEALTH CENTER,324.0,7.0,,735.0,,923.0,234,306.0,30,DISTRICT33,PIECE
ACT-AD,Jan 2024,HEALTH CENTER,320.0,279.0,217.0,202.0,,0.0,-573,410.0,30,DISTRICT12,BLISTER
ACT-AD,Jun 2025,HEALTH CENTER,5.0,,0.0,18.0,,493.0,438,0.0,25,DISTRICT29,BLISTER
ART-SUP,Aug 2024,HEALTH CENTER,4951.0,29.0,679.0,2279.0,,953.0,268,,2,DISTRICT13,CAPSULE
ART-SUP,Nov 2024,HEALTH CENTER,673.0,18.0,498.0,576.0,,633.0,-686,64.0,25,DISTRICT28,CAPSULE
QUIN,Aug 2024,HEALTH CENTER,6034.0,294.0,1739.0,3871.0,,5772.0,-601,2217.0,1000,DISTRICT20,TABLET
ART-INJ,Nov 2024,HEALTH CENTER,,1.0,,1039.0,1150.0,,-46,1309.0,1000,DISTRICT9,VIAL
ACT-GC,Nov 2024,HEALTH CENTER,312.0,,219.0,1200.0,,17.0,68,247.0,30,DISTRICT6,BLISTER
ACT-SC,Apr 2024,HEALTH CENTER,238.0,201.0,57.0,72.0,,1.0,-579,9.0,30,DISTRICT6,BLISTER
QUIN,Aug 2025,HEALTH CENTER,203.0,0.0,,353.0,,,557,,30,DISTRICT9,TABLET
ART-INJ,Dec 2023,HEALTH CENTER,2251.0,0.0,530.0,1483.0,726.0,4044.0,-50,586.0,30,DISTRICT30,VIAL
PYRA-COMP,Oct 2025,HEALTH CENTER,329.0,808.0,538.0,453.0,623.0,31.0,-189,94.0,25,DISTRICT8,TABLET
ACT-SC,Jun 2024,HEALTH CENTER,,,496.0,260.0,956.0,0.0,79,337.0,30,DISTRICT38,BLISTER
PYRA-COMP,Apr 2025,HEALTH CENTER,,5.0,,700.0,1251.0,1.0,-880,172.0,2,DISTRICT9,TABLET
ACT-SC,May 2025,HEALTH CENTER,1764.0,,,1166.0,,8000.0,477,524.0,30,DISTRICT13,BLISTER
ACT-AD,Sep 2025,HEALTH CENTER,6651.0,372.0,,6020.0,404.0,,483,1381.0,5,DISTRICT30,BLISTER
ART-INJ,Sep 2024,HEALTH CENTER,432.0,47.0,,840.0,1260.0,4542.0,104,,30,DISTRICT36,VIAL
PYRA-SAC,Dec 2023,HEALTH CENTER,5355.0,1.0,949.0,3925.0,1791.0,,-350,771.0,1,DISTRICT20,SACHET
ACT-SC,Dec 2024,HEALTH CENTER,,0.0,69.0,,,168.0,392,,1000,DISTRICT26,BLISTER
ACT-SC,Jan 2025,HEALTH CENTER,7844.0,0.0,,1739.0,,,-147,948.0,30,DISTRICT33,BLISTER
ACT-INF,Aug 2025,HEALTH CENTER,249.0,841.0,138.0,,,1.0,-452,102.0,30,DISTRICT15,BLISTER
ITN,Feb 2025,HEALTH CENTER,1985.0,187.0,170.0,,,214.0,167,208.0,2,DISTRICT23,PIECE
PYRA-SAC,Nov 2024,DISTRICT HOSPITAL,,,49.0,,,1.0,-1275,20.0,5,DISTRICT19,SACHET
ACT-AD,Jun 2024,HEALTH CENTER,87.0,2.0,,,,0.0,-287,,1000,DISTRICT33,BLISTER
RDT,Mar 2025,HEALTH CENTER,664.0,2.0,741.0,902.0,,1087.0,-215,,30,DISTRICT23,PIECE
ACT-GC,Apr 2024,HEALTH CENTER,117.0,,509.0,713.0,,,-226,505.0,30,DISTRICT14,BLISTER
ACT-GC,Sep 2025,HEALTH CENTER,2042.0,71.0,487.0,2061.0,,1400.0,-767,,25,DISTRICT6,BLISTER
SP,Oct 2025,REGIONAL HOSPITAL,3525.0,0.0,,,370.0,,220,163.0,1000,DISTRICT10,TABLET
ART-SUP,Jul 2024,HEALTH CENTER,1704.0,455.0,251.0,761.0,,995.0,-121,,1,DISTRICT33,CAPSULE
PYRA-COMP,May 2025,HEALTH CENTER,,0.0,8.0,179.0,,,214,,30,DISTRICT28,TABLET
ITN,Aug 2025,HEALTH CENTER,2029.0,1.0,,3035.0,794.0,,272,337.0,50,DISTRICT12,PIECE
PYRA-SAC,Sep 2025,HEALTH CENTER,2655.0,26.0,,,,8704.0,130,686.0,2,DISTRICT23,SACHET
