product_primaryname,processing_periods_name,facility_type_name,beginningbalance,quantityreceived,quantitydispensed,stockinhand,quantityrequested,quantityapproved,totallossesandadjustments,amc,packsize,zone,dispensingunit
RDT,Dec 2024,HEALTH CENTER,91.0,326.0,162.0,404.0,,0.0,663,59.0,30,DISTRICT19,PIECE
PYRA-SAC,Mar 2025,HEALTH CENTER,505.0,139.0,59.0,536.0,594.0,,-639,,25,DISTRICT21,SACHET
QUIN,Nov 2024,HEALTH CENTER,,,542.0,2880.0,,8.0,328,,1000,DISTRICT26,TABLET
PYRA-SAC,Jul 2024,DISTRICT HOSPITAL,,100.0,202.0,,606.0,1326.0,-694,,5,DISTRICT32,SACHET
ITN,Mar 2024,HEALTH CENTER,,324.0,,,,,427,48.0,50,DISTRICT25,PIECE
ACT-SC,May 2024,HEALTH CENTER,25.0,0.0,27.0,,,10.0,-35,15.0,30,DISTRICT24,BLISTER
ART-INJ,May 2025,HEALTH CENTER,10.0,627.0,6.0,,,70.0,230,10.0,50,DISTRICT25,VIAL
PYRA-COMP,Feb 2025,HEALTH CENTER,,0.0,269.0,,,,-230,107.0,1,DISTRICT35,TABLET
RDT,Oct 2024,HEALTH CENTER,5235.0,369.0,,7244.0,,755.0,-317,1388.0,1000,DISTRICT26,PIECE
ART-SUP,Sep 2025,HEALTH CENTER,,,16.0,147.0,,4.0,-643,4.0,2,DISTRICT30,CAPSULE
PYRA-COMP,Oct 2024,HEALTH CENTER,,4.0,420.0,,,,355,,25,DISTRICT28,TABLET
ITN,Jul 2024,HEALTH CENTER,28.0,,7.0,73.0,,0.0,74,2.0,50,DISTRICT1,PIECE
ITN,Feb 2025,HEALTH CENTER,1284.0,0.0,178.0,966.0,,0.0,25,,1,DISTRICT33,PIECE
QUIN,May 2024,HEALTH CENTER,193.0,0.0,10.0,8.0,,,180,12.0,1,DISTRICT8,TABLET
ACT-GC,Mar 2025,HEALTH CENTER,,,12.0,4.0,,3525.0,270,1.0,30,DISTRICT16,BLISTER
QUIN,Apr 2024,HEALTH CENTER,354.0,0.0,31.0,68.0,1064.0,22.0,-187,,30,DISTRICT21,TABLET
SP,Mar 2025,HEALTH CENTER,645.0,,,551.0,,61.0,796,,30,DISTRICT9,TABLET
ITN,Jul 2025,HEALTH CENTER,5872.0,,2765.0,,1032.0,9705.0,-228,,30,DISTRICT14,PIECE
PYRA-SAC,Aug 2024,HEALTH CENTER,1551.0,,425.0,589.0,,,-475,123.0,5,DISTRICT10,SACHET
ART-SUP,Sep 2025,HEALTH CENTER,41.0,,25.0,,271.0,66.0,-372,6.0,25,DISTRICT5,CAPSULE
ACT-INF,Aug 2024,HEALTH CENTER,327.0,2.0,222.0,395.0,,,-80,79.0,1,DISTRICT33,BLISTER
ART-SUP,Sep 2025,REGIONAL HOSPITAL,20.0,9.0,,27.0,,,-2,15.0,25,DISTRICT28,CAPSULE
ART-INJ,May 2025,HEALTH CENTER,,,569.0,,,86.0,-369,369.0,1000,DISTRICT3,VIAL
SP,Aug 2024,HEALTH CENTER,,39.0,369.0,1100.0,1010.0,,-319,151.0,1000,DISTRICT36,TABLET
ART-SUP,Jan 2024,DISTRICT HOSPITAL,,,87.0,,,3176.0,277,15.0,25,DISTRICT13,CAPSULE
ACT-AD,Aug 2025,HEALTH CENTER,379.0,1630.0,178.0,,,,477,,5,DISTRICT28,BLISTER
ART-INJ,Aug 2024,HEALTH CENTER,3548.0,,614.0,2769.0,,0.0,-787,524.0,30,DISTRICT23,VIAL
QUIN,Jan 2024,HEALTH CENTER,,43.0,607.0,1901.0,,,244,840.0,50,DISTRICT32,TABLET
ACT-INF,Feb 2025,HEALTH CENTER,16.0,1.0,,7.0,440.0,76.0,573,0.0,30,DISTRICT26,BLISTER
ART-SUP,Feb 2025,HEALTH CENTER,245.0,,,1196.0,,0.0,-372,13.0,2,DISTRICT20,CAPSULE
ART-SUP,Feb 2025,DISTRICT HOSPITAL,,9.0,,,263.0,39.0,159,91.0,5,DISTRICT7,CAPSULE
SP,Nov 2025,HEALTH CENTER,8.0,,2.0,,,,-793,0.0,30,DISTRICT7,TABLET
QUIN,Mar 2025,HEALTH CENTER,7857.0,,1020.0,5050.0,,,-646,784.0,30,DISTRICT6,TABLET
ACT-GC,Dec 2024,HEALTH CENTER,427.0,0.0,11.0,423.0,,0.0,-471,1.0,30,DISTRICT33,BLISTER
ITN,Sep 2024,HEALTH CENTER,4243.0,444.0,1728.0,3651.0,,4990.0,-57,1420.0,25,DISTRICT8,PIECE
ACT-SC,Nov 2024,HEALTH CENTER,323.0,2.0,,229.0,,336.0,523,66.0,30,DISTRICT26,BLISTER
ACT-AD,Mar 2025,HEALTH CENTER,1365.0,437.0,653.0,,,,-545,,50,DISTRICT25,BLISTER
ACT-SC,Aug 2024,HEALTH CENTER,1795.0,,485.0,,,0.0,22,,50,DISTRICT29,BLISTER
PYRA-COMP,Apr 2025,HEALTH CENTER,7327.0,,900.0,,2049.0,61.0,-517,730.0,1,DISTRICT15,TABLET
ACT-GC,Apr 2025,HEALTH CENTER,2840.0,17.0,276.0,,1013.0,0.0,-997,354.0,50,DISTRICT33,BLISTER
QUIN,Dec 2023,HEALTH CENTER,23.0,0.0,49.0,338.0,,0.0,-4,113.0,30,DISTRICT24,TABLET
PYRA-COMP,Jun 2024,HEALTH CENTER,4.0,,1.0,7.0,,9.0,-156,4.0,2,DISTRICT6,TABLET
ART-SUP,Sep 2025,HEALTH CENTER,10.0,18.0,8.0,536.0,,,-348,,1,DISTRICT15,CAPSULE
ART-SUP,Dec 2024,HEALTH CENTER,580.0,,,935.0,185.0,142.0,-18,418.0,1000,DISTRICT29,CAPSULE
RDT,Oct 2025,HEALTH CENTER,317.0,0.0,,38.0,,821.0,-942,14.0,30,DISTRICT13,PIECE
RDT,Apr 2025,HEALTH CENTER,170.0,234.0,,213.0,651.0,4537.0,465,164.0,100,DISTRICT20,PIECE
ART-INJ,May 2025,HEALTH CENTER,,337.0,236.0,909.0,132.0,,256,55.0,30,DISTRICT35,VIAL
