product_primaryname,processing_periods_name,facility_type_name,beginningbalance,quantityreceived,quantitydispensed,stockinhand,quantityrequested,quantityapproved,totallossesandadjustments,amc,packsize,zone,dispensingunit
ITN,Feb 2024,HEALTH CENTER,196.0,274.0,18.0,839.0,,0.0,448,,30,DISTRICT1,PIECE
SP,Jan 2025,HEALTH CENTER,4509.0,1.0,1958.0,,,1323.0,414,1446.0,1000,DISTRICT21,TABLET
PYRA-COMP,Jul 2024,HEALTH CENTER,499.0,42.0,84.0,417.0,,17.0,-83,47.0,100,DISTRICT29,TABLET
ART-INJ,May 2024,HEALTH CENTER,71.0,3.0,16.0,142.0,,0.0,-323,,25,DISTRICT18,VIAL
ACT-AD,Nov 2025,HEALTH CENTER,2197.0,84.0,318.0,1708.0,,80.0,-109,78.0,25,DISTRICT37,BLISTER
ITN,Nov 2024,HEALTH CENTER,2258.0,1.0,265.0,2792.0,427.0,50.0,-74,105.0,30,DISTRICT31,PIECE
ACT-GC,Mar 2025,DISTRICT HOSPITAL,2264.0,,328.0,,,1354.0,-688,259.0,30,DISTRICT18,BLISTER
ACT-SC,Sep 2024,HEALTH CENTER,1318.0,,246.0,1097.0,524.0,4457.0,-66,123.0,2,DISTRICT7,BLISTER
QUIN,Aug 2024,HEALTH CENTER,1693.0,573.0,1003.0,1912.0,,1.0,-21,641.0,1000,DISTRICT31,TABLET
PYRA-COMP,Jan 2025,HEALTH CENTER,210.0,262.0,194.0,364.0,1143.0,,-373,,5,DISTRICT25,TABLET
ACT-GC,May 2024,HEALTH CENTER,,174.0,,3546.0,,0.0,640,267.0,30,DISTRICT10,BLISTER
QUIN,Nov 2025,HEALTH CENTER,2.0,0.0,21.0,,,7.0,857,0.0,30,DISTRICT22,TABLET
RDT,Feb 2024,HEALTH CENTER,3816.0,,1114.0,,,1434.0,-297,817.0,1000,DISTRICT31,PIECE
ART-SUP,May 2025,HEALTH CENTER,,0.0,12.0,92.0,,,165,11.0,5,DISTRICT32,CAPSULE
ACT-AD,Apr 2025,HEALTH CENTER,,246.0,227.0,153.0,1346.0,1.0,-636,,25,DISTRICT30,BLISTER
SP,Jan 2025,DISTRICT HOSPITAL,1896.0,0.0,,462.0,,0.0,-757,101.0,1,DISTRICT16,TABLET
ART-INJ,Aug 2025,HEALTH CENTER,,,,47.0,,,-620,238.0,50,DISTRICT20,VIAL
ITN,Apr 2025,HEALTH CENTER,1000.0,1046.0,484.0,3027.0,,0.0,252,,1000,DISTRICT3,PIECE
ART-SUP,May 2025,REGIONAL HOSPITAL,24.0,461.0,91.0,407.0,426.0,373.0,507,,2,DISTRICT29,CAPSULE
ART-INJ,Jan 2025,HEALTH CENTER,2293.0,,81.0,637.0,,,41,,25,DISTRICT7,VIAL
ACT-INF,Jun 2025,DISTRICT HOSPITAL,982.0,,,711.0,,0.0,758,233.0,1000,DISTRICT38,BLISTER
ART-INJ,Oct 2025,HEALTH CENTER,,4.0,,,,1143.0,-272,,1,DISTRICT35,VIAL
ITN,Dec 2023,HEALTH CENTER,154.0,2.0,,,,732.0,60,39.0,30,DISTRICT21,PIECE
ACT-INF,Aug 2025,HEALTH CENTER,1192.0,,187.0,316.0,,7.0,-196,114.0,30,DISTRICT31,BLISTER
ART-INJ,Aug 2025,HEALTH CENTER,364.0,45.0,178.0,,,18.0,-257,118.0,30,DISTRICT3,VIAL
RDT,Sep 2024,HEALTH CENTER,,0.0,27.0,24.0,185.0,3.0,79,,1,DISTRICT4,PIECE
ACT-GC,May 2025,HEALTH CENTER,1230.0,0.0,,1331.0,252.0,25.0,383,158.0,50,DISTRICT19,BLISTER
QUIN,Jun 2025,HEALTH CENTER,,780.0,376.0,2828.0,,0.0,-386,368.0,1000,DISTRICT3,TABLET
ART-INJ,Aug 2024,HEALTH CENTER,761.0,,140.0,,1095.0,,-111,157.0,2,DISTRICT22,VIAL
PYRA-SAC,Feb 2024,HEALTH CENTER,9.0,,,227.0,,0.0,334,,2,DISTRICT9,SACHET
ART-INJ,Jan 2025,HEALTH CENTER,77.0,0.0,,45.0,,8.0,-162,,100,DISTRICT29,VIAL
ART-SUP,Jul 2025,HEALTH CENTER,2287.0,263.0,,3254.0,2736.0,196.0,207,,25,DISTRICT25,CAPSULE
ACT-SC,Jun 2024,HEALTH CENTER,13323.0,142.0,,,1542.0,555.0,63,,30,DISTRICT20,BLISTER
ACT-SC,Apr 2025,HEALTH CENTER,669.0,37.0,133.0,533.0,,4.0,96,,1000,DISTRICT18,BLISTER
ACT-SC,Oct 2024,DISTRICT HOSPITAL,,3417.0,1140.0,2606.0,,32.0,-321,909.0,30,DISTRICT33,BLISTER
ACT-AD,Apr 2025,HEALTH CENTER,,1.0,12.0,,94.0,1.0,-174,,25,DISTRICT19,BLISTER
ART-INJ,Sep 2024,REGIONAL HOSPITAL,1130.0,1076.0,698.0,1105.0,1053.0,8353.0,31,568.0,30,DISTRICT26,VIAL
QUIN,Aug 2024,HEALTH CENTER,522.0,6.0,,,474.0,,48,287.0,30,DISTRICT10,TABLET
SP,Feb 2024,HEALTH CENTER,1072.0,,199.0,,1200.0,38.0,2,112.0,30,DISTRICT28,TABLET
SP,Nov 2025,HEALTH CENTER,2.0,,2.0,339.0,,0.0,633,,1,DISTRICT32,TABLET
PYRA-SAC,Jul 2025,HEALTH CENTER,,0.0,,,,,-1012,3.0,5,DISTRICT29,SACHET
SP,Apr 2025,HEALTH CENTER,642.0,,,703.0,,209.0,353,732.0,1,DISTRICT28,TABLET
SP,Aug 2024,DISTRICT HOSPITAL,,0.0,2.0,,,0.0,40,,30,DISTRICT36,TABLET
ART-INJ,May 2024,HEALTH CENTER,526.0,,326.0,,,1827.0,-800,214.0,30,DISTRICT8,VIAL
ACT-INF,Jan 2024,HEALTH CENTER,,,560.0,2169.0,,54.0,524,196.0,30,DISTRICT13,BLISTER
