product_primaryname,processing_periods_name,facility_type_name,beginningbalance,quantityreceived,quantitydispensed,stockinhand,quantityrequested,quantityapproved,totallossesandadjustments,amc,packsize,zone,dispensingunit
ART-INJ,Sep 2024,HEALTH CENTER,,0.0,583.0,580.0,,100.0,-171,,30,DISTRICT29,VIAL
PYRA-SAC,Jun 2025,DISTRICT HOSPITAL,4274.0,1680.0,1859.0,,1701.0,734.0,-300,,5,DISTRICT7,SACHET
ACT-SC,Oct 2024,HEALTH CENTER,229.0,5.0,12.0,,,,-110,2.0,1,DISTRICT23,BLISTER
SP,Apr 2024,HEALTH CENTER,,352.0,164.0,1353.0,,8228.0,29,131.0,30,DISTRICT14,TABLET
PYRA-COMP,Sep 2024,HEALTH CENTER,1812.0,2.0,207.0,,,4.0,-678,,25,DISTRICT32,TABLET
ART-SUP,Sep 2025,DISTRICT HOSPITAL,2780.0,,124.0,575.0,,36.0,527,119.0,1,DISTRICT26,CAPSULE
ART-INJ,Sep 2024,HEALTH CENTER,32.0,25.0,0.0,59.0,,,-47,,2,DISTRICT23,VIAL
PYRA-COMP,May 2025,HEALTH CENTER,,34.0,1191.0,6048.0,606.0,66.0,180,,30,DISTRICT15,TABLET
ACT-SC,Jan 2024,HEALTH CENTER,517.0,,12.0,1478.0,,23.0,-570,1.0,1000,DISTRICT13,BLISTER
ART-INJ,Feb 2024,HEALTH CENTER,389.0,,17.0,403.0,489.0,,-378,,1000,DISTRICT3,VIAL
ART-SUP,Sep 2024,DISTRICT HOSPITAL,2001.0,130.0,413.0,1589.0,,0.0,207,,30,DISTRICT9,CAPSULE
ACT-GC,Nov 2024,HEALTH CENTER,1008.0,0.0,62.0,134.0,,,329,7.0,100,DISTRICT29,BLISTER
ACT-INF,Jan 2025,HEALTH CENTER,1.0,,2.0,1.0,120.0,48.0,-253,0.0,30,DISTRICT37,BLISTER
ART-INJ,Feb 2025,HEALTH CENTER,,266.0,1221.0,,,981.0,249,,1,DISTRICT33,VIAL
RDT,Oct 2024,HEALTH CENTER,2132.0,,,1442.0,,0.0,-12,557.0,5,DISTRICT19,PIECE
ACT-GC,May 2025,HEALTH CENTER,,5.0,306.0,1702.0,,5.0,-484,,1000,DISTRICT15,BLISTER
SP,Jan 2025,HEALTH CENTER,4900.0,53.0,609.0,2405.0,,254.0,-387,389.0,1000,DISTRICT9,TABLET
ACT-SC,Feb 2025,HEALTH CENTER,722.0,13.0,,,1292.0,732.0,475,202.0,1000,DISTRICT3,BLISTER
ACT-SC,Apr 2024,HEALTH CENTER,,,536.0,,,32.0,-416,758.0,1000,DISTRICT16,BLISTER
SP,Nov 2025,HEALTH CENTER,2917.0,49.0,,1274.0,624.0,7.0,185,512.0,30,DISTRICT13,TABLET
PYRA-SAC,Jan 2024,HEALTH CENTER,19.0,0.0,7.0,,289.0,356.0,141,36.0,5,DISTRICT36,SACHET
ART-SUP,Oct 2025,HEALTH CENTER,1647.0,2517.0,563.0,1924.0,,801.0,-129,316.0,30,DISTRICT2,CAPSULE
ACT-AD,Mar 2024,NATIONAL HOSPITAL,463.0,1.0,23.0,195.0,,2.0,442,37.0,1,DISTRICT32,BLISTER
ACT-AD,Jul 2024,HEALTH CENTER,688.0,179.0,,,,4.0,-121,,1,DISTRICT25,BLISTER
RDT,Nov 2025,HEALTH CENTER,1249.0,17.0,521.0,1193.0,,0.0,627,694.0,25,DISTRICT8,PIECE
ACT-SC,Jul 2024,HEALTH CENTER,2399.0,,275.0,817.0,,1.0,-904,,1000,DISTRICT29,BLISTER
ACT-INF,Oct 2024,HEALTH CENTER,394.0,,303.0,,,2243.0,-671,444.0,30,DISTRICT1,BLISTER
ACT-INF,Feb 2025,HEALTH CENTER,,0.0,,892.0,531.0,5.0,-215,,30,DISTRICT25,BLISTER
ART-SUP,Sep 2024,HEALTH CENTER,,6.0,39.0,434.0,,0.0,842,23.0,25,DISTRICT24,CAPSULE
ART-SUP,Dec 2023,HEALTH CENTER,127.0,0.0,20.0,,,0.0,327,,2,DISTRICT33,CAPSULE
ACT-AD,Feb 2024,HEALTH CENTER,2650.0,17.0,426.0,157.0,,,957,323.0,30,DISTRICT15,BLISTER
PYRA-COMP,Jan 2024,HEALTH CENTER,3.0,,11.0,32.0,556.0,0.0,161,6.0,1,DISTRICT36,TABLET
ACT-INF,Feb 2025,HEALTH CENTER,,0.0,119.0,32.0,,3995.0,-383,16.0,2,DISTRICT25,BLISTER
PYRA-SAC,Apr 2025,HEALTH CENTER,,1204.0,500.0,666.0,,1978.0,-150,475.0,2,DISTRICT25,SACHET
PYRA-COMP,Aug 2025,HEALTH CENTER,20.0,2.0,,6.0,,1067.0,167,71.0,5,DISTRICT31,TABLET
RDT,May 2024,HEALTH CENTER,215.0,0.0,,392.0,385.0,4.0,393,121.0,2,DISTRICT8,PIECE
RDT,Nov 2025,HEALTH CENTER,69.0,1.0,,188.0,,0.0,140,4.0,30,DISTRICT6,PIECE
ACT-SC,Apr 2025,HEALTH CENTER,425.0,24.0,,,,4.0,276,64.0,1000,DISTRICT20,BLISTER
ART-SUP,Aug 2024,DISTRICT HOSPITAL,,238.0,376.0,2311.0,,4068.0,320,,30,DISTRICT18,CAPSULE
QUIN,Dec 2024,REGIONAL HOSPITAL,3659.0,,292.0,,668.0,1196.0,247,,50,DISTRICT24,TABLET
SP,May 2025,HEALTH CENTER,378.0,,310.0,992.0,,0.0,-256,340.0,30,DISTRICT8,TABLET
ITN,Feb 2024,DISTRICT HOSPITAL,133.0,289.0,,484.0,,0.0,-121,112.0,100,DISTRICT16,PIECE
ART-INJ,Sep 2025,HEALTH CENTER,871.0,1.0,336.0,1341.0,,371.0,-29,263.0,2,DISTRICT23,VIAL
PYRA-SAC,May 2024,HEALTH CENTER,,50.0,370.0,,,2064.0,892,,1,DISTRICT2,SACHET
ART-INJ,Dec 2023,HEALTH CENTER,,0.0,,,,249.0,-205,13.0,30,DISTRICT25,VIAL
ART-SUP,Apr 2025,REGIONAL HOSPITAL,,,,,,4.0,269,469.0,5,DISTRICT15,CAPSULE
ITN,Jan 2025,HEALTH CENTER,392.0,17.0,83.0,104.0,640.0,0.0,-290,3.0,1,DISTRICT33,PIECE
ACT-AD,Jan 2024,HEALTH CENTER,71.0,0.0,,105.0,120.0,0.0,652,31.0,1,DISTRICT1,BLISTER
ITN,Dec 2023,REGIONAL HOSPITAL,,1.0,1296.0,8726.0,,135.0,-339,,1000,DISTRICT16,PIECE
PYRA-COMP,Oct 2024,HEALTH CENTER,1531.0,195.0,215.0,570.0,,324.0,-599,163.0,1,DISTRICT20,TABLET
ITN,Nov 2025,DISTRICT HOSPITAL,183.0,,,83.0,457.0,0.0,146,,50,DISTRICT14,PIECE
ART-INJ,Dec 2023,DISTRICT HOSPITAL,1945.0,,1008.0,1690.0,2214.0,7961.0,-151,1620.0,30,DISTRICT12,VIAL
ACT-SC,Jun 2025,HEALTH CENTER,278.0,1.0,131.0,519.0,524.0,4.0,-119,10.0,30,DISTRICT28,BLISTER
ACT-INF,Nov 2024,HEALTH CENTER,379.0,,98.0,,,0.0,447,36.0,30,DISTRICT8,BLISTER
ITN,Jan 2024,HEALTH CENTER,1499.0,0.0,124.0,,,,71,46.0,30,DISTRICT25,PIECE
PYRA-SAC,Aug 2024,HEALTH CENTER,372.0,163.0,33.0,183.0,,0.0,-35,,2,DISTRICT6,SACHET
