product_primaryname,processing_periods_name,facility_type_name,beginningbalance,quantityreceived,quantitydispensed,stockinhand,quantityrequested,quantityapproved,totallossesandadjustments,amc,packsize,zone,dispensingunit
PYRA-COMP,May 2025,HEALTH CENTER,290.0,22.0,10.0,980.0,,,313,2.0,25,DISTRICT25,TABLET
PYRA-COMP,May 2025,HEALTH CENTER,3510.0,6.0,437.0,1426.0,,0.0,246,151.0,30,DISTRICT28,TABLET
ACT-GC,Nov 2025,HEALTH CENTER,125.0,,52.0,140.0,1433.0,,25,,1000,DISTRICT1,BLISTER
PYRA-SAC,Dec 2024,HEALTH CENTER,1015.0,209.0,,533.0,810.0,327.0,408,,25,DISTRICT1,SACHET
SP,Jan 2024,HEALTH CENTER,2805.0,,528.0,,,730.0,42,448.0,30,DISTRICT13,TABLET
ART-INJ,Jul 2025,HEALTH CENTER,1744.0,4.0,409.0,1508.0,,7396.0,-978,681.0,1000,DISTRICT28,VIAL
RDT,Apr 2025,HEALTH CENTER,3187.0,737.0,471.0,3934.0,,,345,340.0,30,DISTRICT2,PIECE
ITN,Jan 2024,HEALTH CENTER,,,452.0,743.0,,3699.0,-769,121.0,30,DISTRICT28,PIECE
ART-INJ,Dec 2023,HEALTH CENTER,,0.0,,,,,133,0.0,1,DISTRICT8,VIAL
ACT-INF,Jan 2024,DISTRICT HOSPITAL,,,,,614.0,0.0,331,10.0,30,DISTRICT24,BLISTER
SP,Aug 2025,HEALTH CENTER,4.0,2.0,40.0,,,1.0,-264,4.0,1000,DISTRICT9,TABLET
PYRA-COMP,Jul 2025,HEALTH CENTER,3665.0,0.0,706.0,2667.0,,5338.0,-1042,332.0,1,DISTRICT23,TABLET
ACT-AD,Jul 2024,HEALTH CENTER,477.0,0.0,,2390.0,477.0,44.0,775,122.0,25,DISTRICT10,BLISTER
ACT-GC,Apr 2025,HEALTH CENTER,17.0,11.0,35.0,20.0,,268.0,-34,44.0,25,DISTRICT36,BLISTER
SP,May 2025,HEALTH CENTER,293.0,2.0,363.0,39.0,,6730.0,1216,,1000,DISTRICT25,TABLET
ACT-SC,Aug 2024,HEALTH CENTER,1876.0,,,2701.0,2297.0,3087.0,48,1292.0,30,DISTRICT8,BLISTER
ITN,Dec 2024,HEALTH CENTER,,0.0,,11.0,,2760.0,-209,352.0,2,DISTRICT32,PIECE
QUIN,Mar 2025,HEALTH CENTER,,513.0,253.0,,1037.0,548.0,-606,,1000,DISTRICT1,TABLET
ITN,Sep 2024,HEALTH CENTER,40.0,451.0,,608.0,,4.0,-502,9.0,30,DISTRICT25,PIECE
PYRA-COMP,Oct 2025,HEALTH CENTER,610.0,,108.0,,64.0,1.0,-523,34.0,2,DISTRICT18,TABLET
ACT-GC,May 2024,DISTRICT HOSPITAL,2002.0,0.0,343.0,1844.0,,434.0,252,,1000,DISTRICT31,BLISTER
ACT-SC,Jul 2025,HEALTH CENTER,1257.0,0.0,66.0,747.0,,,-374,25.0,30,DISTRICT28,BLISTER
ACT-GC,Jul 2025,HEALTH CENTER,1171.0,1.0,187.0,,,48.0,-75,86.0,1,DISTRICT33,BLISTER
ACT-GC,Apr 2024,HEALTH CENTER,83.0,22.0,,,,1049.0,1387,21.0,30,DISTRICT16,BLISTER
PYRA-COMP,Mar 2025,HEALTH CENTER,1846.0,865.0,756.0,1321.0,,6.0,-5,,1,DISTRICT36,TABLET
QUIN,Dec 2023,HEALTH CENTER,789.0,0.0,160.0,1672.0,1484.0,79.0,720,90.0,1000,DISTRICT32,TABLET
ACT-GC,Jan 2025,HEALTH CENTER,809.0,1.0,18.0,,630.0,0.0,-232,54.0,1000,DISTRICT26,BLISTER
ACT-GC,May 2025,HEALTH CENTER,89.0,1.0,57.0,65.0,,620.0,209,20.0,1000,DISTRICT28,BLISTER
ACT-INF,Jun 2025,HEALTH CENTER,,1.0,129.0,574.0,,67.0,696,,30,DISTRICT9,BLISTER
ART-INJ,Jan 2024,HEALTH CENTER,389.0,114.0,,377.0,,0.0,-507,82.0,1,DISTRICT33,VIAL
QUIN,Apr 2025,HEALTH CENTER,,47.0,253.0,,1239.0,161.0,21,376.0,1000,DISTRICT24,TABLET
SP,Sep 2024,HEALTH CENTER,180.0,0.0,30.0,75.0,,0.0,728,29.0,30,DISTRICT26,TABLET
ITN,Apr 2024,HEALTH CENTER,50.0,126.0,,2.0,,0.0,-95,0.0,30,DISTRICT19,PIECE
PYRA-COMP,Oct 2025,HEALTH CENTER,10481.0,337.0,1693.0,,126.0,0.0,324,,30,DISTRICT33,TABLET
PYRA-COMP,Jan 2024,HEALTH CENTER,2775.0,109.0,,1183.0,,,-358,380.0,50,DISTRICT1,TABLET
ART-INJ,Jun 2025,HEALTH CENTER,57.0,,30.0,,,0.0,-665,26.0,30,DISTRICT38,VIAL
